#  zmin zmax zmean dN_dV_lrg dN_dVdz_elg dN_dVdz_qso 
0.000000000 0.050000000 0.025000000 0.000994455 0.000000000 0.000000000
0.050000000 0.100000000 0.075000000 0.000846157 0.000000000 0.000000000
0.100000000 0.150000000 0.125000000 0.000945795 0.000000000 0.000000000
0.150000000 0.200000000 0.175000000 0.000654071 0.000000000 0.000000000
0.200000000 0.250000000 0.225000000 0.000982432 0.000000000 0.000000000
0.250000000 0.300000000 0.275000000 0.000840441 0.000000000 0.000000000
0.300000000 0.350000000 0.325000000 0.000803731 0.000000000 0.000000000
0.350000000 0.400000000 0.375000000 0.000697818 0.000000000 0.000000000
0.400000000 0.450000000 0.425000000 0.000763419 0.000000000 0.000000000
0.450000000 0.500000000 0.475000000 0.000709572 0.000000000 0.000000000
0.500000000 0.550000000 0.525000000 0.000109198 0.000000000 0.000000000
0.550000000 0.600000000 0.575000000 0.000107118 0.000000000 0.000000000
0.600000000 0.650000000 0.625000000 0.000099357 0.000000000 0.000000000
0.650000000 0.700000000 0.675000000 0.000101707 0.000005796 0.000000000
0.700000000 0.750000000 0.725000000 0.000095189 0.000886631 0.000000000
0.750000000 0.800000000 0.775000000 0.000073411 0.000974851 0.000000000
0.800000000 0.850000000 0.825000000 0.000000529 0.000784685 0.000000000
0.850000000 0.900000000 0.875000000 0.000000000 0.000379187 0.000000980
0.900000000 0.950000000 0.925000000 0.000000000 0.000068004 0.000102744
0.950000000 1.000000000 0.975000000 0.000000000 0.000006432 0.000083354
1.000000000 1.050000000 1.025000000 0.000000000 0.000000707 0.000060761
1.050000000 1.100000000 1.075000000 0.000000000 0.000000107 0.000035360
1.100000000 1.150000000 1.125000000 0.000000000 0.000000000 0.000010178
1.150000000 1.200000000 1.175000000 0.000000000 0.000000000 0.000001325
1.200000000 1.250000000 1.225000000 0.000000000 0.000000139 0.000000109
1.250000000 1.300000000 1.275000000 0.000000000 0.000000041 0.000000053
1.300000000 1.350000000 1.325000000 0.000000000 0.000000000 0.000000000
1.350000000 1.400000000 1.375000000 0.000000000 0.000000062 0.000000000
1.400000000 1.450000000 1.425000000 0.000000000 0.000000000 0.000000000
1.450000000 1.500000000 1.475000000 0.000000000 0.000000000 0.000000000
1.500000000 1.550000000 1.525000000 0.000000000 0.000000000 0.000000000
1.550000000 1.600000000 1.575000000 0.000000000 0.000000000 0.000000000
1.600000000 1.650000000 1.625000000 0.000000000 0.000000000 0.000000000
1.650000000 1.700000000 1.675000000 0.000000000 0.000000000 0.000000000
1.700000000 1.750000000 1.725000000 0.000000000 0.000000000 0.000000000
1.750000000 1.800000000 1.775000000 0.000000000 0.000000000 0.000000000
1.800000000 1.850000000 1.825000000 0.000000000 0.000000000 0.000000000
1.850000000 1.900000000 1.875000000 0.000000000 0.000000000 0.000000000
1.900000000 1.950000000 1.925000000 0.000000000 0.000000000 0.000000000
1.950000000 2.000000000 1.975000000 0.000000000 0.000000000 0.000000000
2.000000000 2.050000000 2.025000000 0.000000000 0.000000000 0.000000000
2.050000000 2.100000000 2.075000000 0.000000000 0.000000000 0.000000000
2.100000000 2.150000000 2.125000000 0.000000000 0.000000000 0.000000000
2.150000000 2.200000000 2.175000000 0.000000000 0.000000000 0.000000000
2.200000000 2.250000000 2.225000000 0.000000000 0.000000000 0.000000000
2.250000000 2.300000000 2.275000000 0.000000000 0.000000000 0.000000000
2.300000000 2.350000000 2.325000000 0.000000000 0.000000000 0.000000000
2.350000000 2.400000000 2.375000000 0.000000000 0.000000000 0.000000000
2.400000000 2.450000000 2.425000000 0.000000000 0.000000000 0.000000000
2.450000000 2.500000000 2.475000000 0.000000000 0.000000000 0.000000000
2.500000000 2.550000000 2.525000000 0.000000000 0.000000000 0.000000000
2.550000000 2.600000000 2.575000000 0.000000000 0.000000000 0.000000000
2.600000000 2.650000000 2.625000000 0.000000000 0.000000000 0.000000000
2.650000000 2.700000000 2.675000000 0.000000000 0.000000000 0.000000000
2.700000000 2.750000000 2.725000000 0.000000000 0.000000000 0.000000000
2.750000000 2.800000000 2.775000000 0.000000000 0.000000000 0.000000000
2.800000000 2.850000000 2.825000000 0.000000000 0.000000000 0.000000000
2.850000000 2.900000000 2.875000000 0.000000000 0.000000000 0.000000000
2.900000000 2.950000000 2.925000000 0.000000000 0.000000000 0.000000000
2.950000000 3.000000000 2.975000000 0.000000000 0.000000000 0.000000000
3.000000000 3.050000000 3.025000000 0.000000000 0.000000000 0.000000000
3.050000000 3.100000000 3.075000000 0.000000000 0.000000000 0.000000000
3.100000000 3.150000000 3.125000000 0.000000000 0.000000000 0.000000000
3.150000000 3.200000000 3.175000000 0.000000000 0.000000000 0.000000000
3.200000000 3.250000000 3.225000000 0.000000000 0.000000000 0.000000000
3.250000000 3.300000000 3.275000000 0.000000000 0.000000000 0.000000000
3.300000000 3.350000000 3.325000000 0.000000000 0.000000000 0.000000000
3.350000000 3.400000000 3.375000000 0.000000000 0.000000000 0.000000000
3.400000000 3.450000000 3.425000000 0.000000000 0.000000000 0.000000000
3.450000000 3.500000000 3.475000000 0.000000000 0.000000000 0.000000000
3.500000000 3.550000000 3.525000000 0.000000000 0.000000000 0.000000000
3.550000000 3.600000000 3.575000000 0.000000000 0.000000000 0.000000000
3.600000000 3.650000000 3.625000000 0.000000000 0.000000000 0.000000000
3.650000000 3.700000000 3.675000000 0.000000000 0.000000000 0.000000000
3.700000000 3.750000000 3.725000000 0.000000000 0.000000000 0.000000000
3.750000000 3.800000000 3.775000000 0.000000000 0.000000000 0.000000000
3.800000000 3.850000000 3.825000000 0.000000000 0.000000000 0.000000000
3.850000000 3.900000000 3.875000000 0.000000000 0.000000000 0.000000000
3.900000000 3.950000000 3.925000000 0.000000000 0.000000000 0.000000000
3.950000000 4.000000000 3.975000000 0.000000000 0.000000000 0.000000000
4.000000000 4.050000000 4.025000000 0.000000000 0.000000000 0.000000000
4.050000000 4.100000000 4.075000000 0.000000000 0.000000000 0.000000000
4.100000000 4.150000000 4.125000000 0.000000000 0.000000000 0.000000000
4.150000000 4.200000000 4.175000000 0.000000000 0.000000000 0.000000000
4.200000000 4.250000000 4.225000000 0.000000000 0.000000000 0.000000000
